,02_DMSO alltime,02_DMSO alltime,03_10um alltime,03_10um alltime,04_500um alltime,04_500um alltime,05_Control 30 min removed,05_Control 30 min removed,06_DMSO30 min removed,06_DMSO30 min removed,07_10um 30 min removed,07_10um 30 min removed,08_500um 30 min removal,08_500um 30 min removal,09_Control 2h removal,09_Control 2h removal,10_DMSO 2h removal,10_DMSO 2h removal,11_10um 2h removal,11_10um 2h removal,12_500um 2h removal,12_500um 2h removal,01_Control,01_Control
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
0,290,0.007156387770833333,166,0.013694347770833334,171,0.019995505104166665,96,0.0265987504375,123,0.033842835770833336,92,0.042113603770833334,127,0.048453617104166666,104,0.05631885710416667,168,0.06357002777083333,214,0.0710376944375,240,0.0798401344375,213,0.0005312624375
1,337,0.5161709771041667,220,0.5314216677708333,226,0.5471891957708334,116,0.5639332704375,136,0.5802217131041667,156,0.5952265264375,222,0.6102394677708334,134,0.6263888464375,168,0.6429660117708333,185,0.6586780597708334,228,0.6727880011041667,259,0.5004774757708333
2,356,1.0109366064375,224,1.0207481237708333,233,1.0305483904375,120,1.0398824357708334,125,1.0495986037708334,164,1.0604491611041666,241,1.0698416464375,142,1.0795643077705555,169,1.0887523797708334,173,1.0983921584375,233,1.1075009931041666,261,1.0004406037708333
3,329,1.5103078704375,228,1.5199430651041668,227,1.5289386304375,146,1.5378297531041667,130,1.5476564757708333,180,1.5575606304375,258,1.5667573131041668,159,1.5764233744375,182,1.5864811077708334,181,1.5975503824375,219,1.6070005397708333,299,1.5004413904375
4,347,2.0104518304375,230,2.020966547770833,236,2.030530073104167,162,2.0402759984375,138,2.0498074384375,176,2.0595870811041666,263,2.0689591451041665,157,2.0787539584375,202,2.0885838411041666,186,2.0992692277708334,227,2.1098003317708334,337,2.0004257291041667
5,356,2.511124433104167,260,2.5220681824375,250,2.531149203770833,183,2.540755785104167,144,2.5515796384375,183,2.562821241104167,255,2.5724137237708335,175,2.5833203584375,201,2.5934393077705558,201,2.6035169024375,237,2.6133240811041665,342,2.5004206144375
6,359,3.0102770731041666,248,3.0204897051041666,234,3.0305874384375,182,3.0402954437708334,155,3.0516217344375,198,3.0614046384375,267,3.0715037611041667,174,3.0813076011041667,200,3.0911837717708335,197,3.1016285931041665,236,3.111080833104167,350,3.0004127477708336
7,358,3.5103051024375,262,3.5203421744375,238,3.5299800064375,185,3.5400653797708332,159,3.5498962677708334,209,3.5595716357708334,269,3.5708840357708334,173,3.5805852384375,209,3.5903981397708336,213,3.6003877824375,241,3.6105444411041665,343,3.5004074757708334
8,363,4.011180635770834,244,4.022325291770834,250,4.0313388784375,188,4.040922057104167,162,4.051210347770834,209,4.062889907770833,268,4.0724675664375,176,4.0836967024375,225,4.093138939770833,239,4.103194659770834,262,4.1129797504375,361,4.0004046304375
9,355,4.5102309984375,282,4.520962073104167,249,4.5309773024375,193,4.5407310384375,189,4.5506515131041665,209,4.560454937104167,267,4.5698733557708335,171,4.581609755770834,218,4.5915264464375,233,4.602381619770833,266,4.612735849104166,377,4.5004399344375
10,353,5.011206691770833,268,5.0222972144375,254,5.030999651770833,195,5.041199505104166,189,5.0509198384375,205,5.060845449104167,283,5.0708994677708334,168,5.080717057104167,218,5.090489441104166,254,5.100354913104167,274,5.110304833104166,374,5.0004264864375
11,361,5.5100534704375,279,5.5196810944375,267,5.529001769104167,196,5.539650307770834,207,5.5492933824375,213,5.558831003770833,274,5.5683119931041665,171,5.5782262171041666,225,5.588232107770834,243,5.5983053984375,281,5.6074996464375,367,5.5004147744375
12,344,6.010092483770833,290,6.020426193104167,266,6.0294768624375,192,6.038518643770833,202,6.048769643770833,213,6.0586213317708335,291,6.068051105104167,178,6.078199601104167,241,6.089075025104167,250,6.0993229984375,292,6.1090013504375,386,6.000379755770833
13,373,6.510457537104167,281,6.5217275744375,263,6.532386251770833,189,6.541925713104167,201,6.551800457104167,232,6.562677193104166,293,6.5736344171041665,179,6.583972395770833,239,6.594750001104167,244,6.6046359264375,303,6.614440147770833,393,6.5004120277708335
14,377,7.010227715770833,279,7.0198666224375,282,7.0307252331041665,189,7.0401516704375,209,7.0499587424375,225,7.0599945984375,286,7.0699821904375,185,7.079848219770834,231,7.0896023024375,262,7.1001086544375,301,7.111243275770834,411,7.0003493264375
15,385,7.510198385104166,274,7.5207404624375,274,7.531642929104167,195,7.5412467664375,209,7.551099043770833,226,7.5609299691041665,285,7.5701662677708335,171,7.580109379770834,227,7.5904746864375,267,7.6003422784375,297,7.609946601104166,407,7.500359995770833
16,371,8.010089545104167,288,8.020017033104166,285,8.030631129104167,204,8.040683059770833,213,8.050628395770833,244,8.060391785104168,296,8.0711868544375,181,8.0823110944375,247,8.091852187770833,275,8.101373283770833,298,8.1105123584375,395,8.0003320944375
17,380,8.5109254864375,302,8.520574705104167,259,8.5300633744375,197,8.540757811770833,213,8.5506967904375,237,8.560752267770834,296,8.5698380784375,185,8.579491083770833,223,8.5892067984375,278,8.5993054704375,321,8.608994691770834,405,8.500323441104166
18,374,9.010034905104167,289,9.019628049104167,275,9.029413067770834,185,9.040138795770833,209,9.0499411424375,230,9.0599777984375,301,9.0710417584375,186,9.080948761104167,225,9.0905927024375,278,9.100503905104167,309,9.110440179770833,404,9.000334643770833
19,402,9.5100536944375,301,9.520329137104167,267,9.530908819770833,198,9.540281787770834,220,9.549469299770834,232,9.560491905104167,287,9.569665147770833,180,9.579511105104167,242,9.5894150864375,275,9.600121091770834,325,9.609973195770833,414,9.500313779770833
20,386,10.010377521104166,287,10.021432763770834,282,10.030105305104167,201,10.0404348464375,226,10.050910811770834,237,10.060709721104166,308,10.0702237344375,197,10.0804287584375,235,10.090950315770833,281,10.1019741024375,325,10.111541827770834,421,10.0003009664375
21,393,10.511777921103889,273,10.522847539770833,281,10.532520371770833,211,10.542064833104167,234,10.552037113104166,236,10.563647051770833,294,10.572876129104166,175,10.583179211770833,240,10.5929354464375,289,10.6027599824375,343,10.615048299770834,419,10.5002887824375
22,402,11.0101338064375,299,11.0210730064375,301,11.030196107770834,212,11.039967169104166,238,11.050438033104166,235,11.0600332944375,302,11.069573587770833,171,11.080986929104167,257,11.091675745104167,287,11.102156505104167,324,11.112046945104167,429,11.000286179770834
23,406,11.510094467770834,295,11.5205682464375,296,11.5312133824375,201,11.541974393104166,235,11.5516643024375,242,11.561590505104167,304,11.571759835770834,177,11.582908171770834,260,11.592631177104167,281,11.602729849104167,322,11.6126419904375,424,11.500316323770834
