,E57_KO_10uM_cyto3,E57_KO_10uM_cyto3,E57_KO_500uM_cyto3,E57_KO_500uM_cyto3,E57_KO_Control_cyto3,E57_KO_Control_cyto3,E57_KO_DMSO_cyto3,E57_KO_DMSO_cyto3,E57_WT_10uM_cyto3,E57_WT_10uM_cyto3,E57_WT_500uM_cyto3,E57_WT_500uM_cyto3,E57_WT_Control_cyto3,E57_WT_Control_cyto3,E57_WT_DMSO_cyto3,E57_WT_DMSO_cyto3,E58_KO_10uM_cyto3,E58_KO_10uM_cyto3,E58_KO_500uM_cyto3,E58_KO_500uM_cyto3,E58_KO_Control_cyto3,E58_KO_Control_cyto3,E58_KO_DMSO_cyto3,E58_KO_DMSO_cyto3,E58_WT_10uM_cyto3,E58_WT_10uM_cyto3,E58_WT_500uM_cyto3,E58_WT_500uM_cyto3,E58_WT_Control_cyto3,E58_WT_Control_cyto3,E58_WT_DMSO_cyto3,E58_WT_DMSO_cyto3,E59_KO_10uM_cyto3,E59_KO_10uM_cyto3,E59_KO_500uM_cyto3,E59_KO_500uM_cyto3,E59_KO_Control_cyto3,E59_KO_Control_cyto3,E59_KO_DMSO_cyto3,E59_KO_DMSO_cyto3,E59_WT_10uM_cyto3,E59_WT_10uM_cyto3,E59_WT_500uM_cyto3,E59_WT_500uM_cyto3,E59_WT_Control_cyto3,E59_WT_Control_cyto3,E59_WT_DMSO_cyto3,E59_WT_DMSO_cyto3
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
0,499,0.0,445,0.0,406,0.0,216,0.0,511,0.0,462,0.0,372,0.0,427,0.0,1186.0,0.0,652.0,0.0,848.0,0.0,757.0,0.0,346.0,0.0,790.0,0.0,405.0,0.0,270.0,0.0,1491.0,0.0,1464.0,0.0,1142.0,0.0,1335.0,0.0,906.0,0.0,834.0,0.0,715.0,0.0,793.0,0.0
1,532,3.0,448,3.0,424,3.0,254,3.0,533,3.0,508,3.0,391,3.0,449,3.0,1237.0,3.0,693.0,3.0,927.0,3.0,764.0,3.0,394.0,3.0,873.0,3.0,469.0,3.0,304.0,3.0,1653.0,3.0,1601.0,3.0,1217.0,3.0,1422.0,3.0,1026.0,3.0,970.0,3.0,773.0,3.0,904.0,3.0
2,576,6.0,460,6.0,448,6.0,237,6.0,558,6.0,533,6.0,423,6.0,461,6.0,1322.0,6.0,765.0,6.0,963.0,6.0,835.0,6.0,432.0,6.0,933.0,6.0,497.0,6.0,329.0,6.0,1702.0,6.0,1617.0,6.0,1250.0,6.0,1465.0,6.0,1083.0,6.0,976.0,6.0,791.0,6.0,958.0,6.0
3,535,9.0,492,9.0,462,9.0,275,9.0,603,9.0,548,9.0,449,9.0,494,9.0,1338.0,9.0,759.0,9.0,1000.0,9.0,918.0,9.0,438.0,9.0,985.0,9.0,542.0,9.0,385.0,9.0,1736.0,9.0,1684.0,9.0,1287.0,9.0,1541.0,9.0,1145.0,9.0,1015.0,9.0,803.0,9.0,986.0,9.0
4,550,12.0,465,12.0,475,12.0,254,12.0,658,12.0,604,12.0,474,12.0,525,12.0,1394.0,12.0,804.0,12.0,999.0,12.0,924.0,12.0,463.0,12.0,1022.0,12.0,561.0,12.0,382.0,12.0,1786.0,12.0,1717.0,12.0,1316.0,12.0,1585.0,12.0,1202.0,12.0,1068.0,12.0,863.0,12.0,1034.0,12.0
5,585,15.0,493,15.0,468,15.0,265,15.0,717,15.0,654,15.0,511,15.0,556,15.0,1466.0,15.0,800.0,15.0,1063.0,15.0,999.0,15.0,491.0,15.0,1109.0,15.0,600.0,15.0,402.0,15.0,1875.0,15.0,1766.0,15.0,1397.0,15.0,1675.0,15.0,1273.0,15.0,1146.0,15.0,948.0,15.0,1088.0,15.0
6,645,18.0,529,18.0,518,18.0,271,18.0,791,18.0,671,18.0,562,18.0,579,18.0,1386.0,18.0,804.0,18.0,1107.0,18.0,981.0,18.0,606.0,18.0,1245.0,18.0,672.0,18.0,460.0,18.0,1987.0,18.0,1909.0,18.0,1480.0,18.0,1749.0,18.0,1337.0,18.0,1225.0,18.0,1013.0,18.0,1151.0,18.0
7,653,21.0,536,21.0,549,21.0,290,21.0,741,21.0,697,21.0,529,21.0,579,21.0,1458.0,21.0,860.0,21.0,1121.0,21.0,1006.0,21.0,618.0,21.0,1290.0,21.0,746.0,21.0,482.0,21.0,1993.0,21.0,1935.0,21.0,1513.0,21.0,1786.0,21.0,1386.0,21.0,1276.0,21.0,1017.0,21.0,1166.0,21.0
8,662,24.0,553,24.0,572,24.0,279,24.0,762,24.0,715,24.0,569,24.0,641,24.0,1530.0,24.0,952.0,24.0,1172.0,24.0,1037.0,24.0,667.0,24.0,1386.0,24.0,750.0,24.0,563.0,24.0,2099.0,24.0,1990.0,24.0,1603.0,24.0,1901.0,24.0,1473.0,24.0,1359.0,24.0,1068.0,24.0,1267.0,24.0
