,E57_KO_10uM_cyto3,E57_KO_10uM_cyto3,E57_KO_500uM_cyto3,E57_KO_500uM_cyto3,E57_KO_Control_cyto3,E57_KO_Control_cyto3,E57_KO_DMSO_cyto3,E57_KO_DMSO_cyto3,E57_WT_10uM_cyto3,E57_WT_10uM_cyto3,E57_WT_500uM_cyto3,E57_WT_500uM_cyto3,E57_WT_Control_cyto3,E57_WT_Control_cyto3,E57_WT_DMSO_cyto3,E57_WT_DMSO_cyto3,E58_KO_10uM_cyto3,E58_KO_10uM_cyto3,E58_KO_500uM_cyto3,E58_KO_500uM_cyto3,E58_KO_Control_cyto3,E58_KO_Control_cyto3,E58_KO_DMSO_cyto3,E58_KO_DMSO_cyto3,E58_WT_10uM_cyto3,E58_WT_10uM_cyto3,E58_WT_500uM_cyto3,E58_WT_500uM_cyto3,E58_WT_Control_cyto3,E58_WT_Control_cyto3,E58_WT_DMSO_cyto3,E58_WT_DMSO_cyto3,E59_KO_10uM_cyto3,E59_KO_10uM_cyto3,E59_KO_500uM_cyto3,E59_KO_500uM_cyto3,E59_KO_Control_cyto3,E59_KO_Control_cyto3,E59_KO_DMSO_cyto3,E59_KO_DMSO_cyto3,E59_WT_10uM_cyto3,E59_WT_10uM_cyto3,E59_WT_500uM_cyto3,E59_WT_500uM_cyto3,E59_WT_Control_cyto3,E59_WT_Control_cyto3,E59_WT_DMSO_cyto3,E59_WT_DMSO_cyto3
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
0,499,0.0,445,0.0,406,0.0,216,0.0,511,0.0,462,0.0,372,0.0,427,0.0,1186,0.0,652,0.0,848,0.0,757,0.0,346,0.0,790,0.0,405,0.0,270,0.0,1491,0.0,1464,0.0,1142,0.0,1335,0.0,906,0.0,834,0.0,715,0.0,793,0.0
1,504,0.5,445,0.5,409,0.5,222,0.5,514,0.5,469,0.5,375,0.5,430,0.5,1194,0.5,658,0.5,861,0.5,758,0.5,354,0.5,803,0.5,415,0.5,275,0.5,1518,0.5,1486,0.5,1154,0.5,1349,0.5,926,0.5,856,0.5,724,0.5,811,0.5
2,510,1.0,446,1.0,412,1.0,228,1.0,518,1.0,477,1.0,378,1.0,434,1.0,1203,1.0,665,1.0,874,1.0,759,1.0,362,1.0,817,1.0,426,1.0,281,1.0,1545,1.0,1509,1.0,1167,1.0,1364,1.0,946,1.0,879,1.0,734,1.0,830,1.0
3,515,1.5,446,1.5,415,1.5,235,1.5,522,1.5,485,1.5,381,1.5,438,1.5,1211,1.5,672,1.5,887,1.5,760,1.5,370,1.5,831,1.5,437,1.5,287,1.5,1572,1.5,1532,1.5,1179,1.5,1378,1.5,966,1.5,902,1.5,744,1.5,848,1.5
4,521,2.0,447,2.0,418,2.0,241,2.0,525,2.0,492,2.0,384,2.0,441,2.0,1220,2.0,679,2.0,900,2.0,761,2.0,378,2.0,845,2.0,447,2.0,292,2.0,1599,2.0,1555,2.0,1192,2.0,1393,2.0,986,2.0,924,2.0,753,2.0,867,2.0
5,526,2.5,447,2.5,421,2.5,247,2.5,529,2.5,500,2.5,387,2.5,445,2.5,1228,2.5,686,2.5,913,2.5,762,2.5,386,2.5,859,2.5,458,2.5,298,2.5,1626,2.5,1578,2.5,1204,2.5,1407,2.5,1006,2.5,947,2.5,763,2.5,885,2.5
6,532,3.0,448,3.0,424,3.0,254,3.0,533,3.0,508,3.0,391,3.0,449,3.0,1237,3.0,693,3.0,927,3.0,764,3.0,394,3.0,873,3.0,469,3.0,304,3.0,1653,3.0,1601,3.0,1217,3.0,1422,3.0,1026,3.0,970,3.0,773,3.0,904,3.0
7,539,3.5,450,3.5,428,3.5,251,3.5,537,3.5,512,3.5,396,3.5,451,3.5,1251,3.5,705,3.5,933,3.5,775,3.5,400,3.5,883,3.5,473,3.5,308,3.5,1661,3.5,1603,3.5,1222,3.5,1429,3.5,1035,3.5,971,3.5,776,3.5,913,3.5
8,546,4.0,452,4.0,432,4.0,248,4.0,541,4.0,516,4.0,401,4.0,453,4.0,1265,4.0,717,4.0,939,4.0,787,4.0,406,4.0,893,4.0,478,4.0,312,4.0,1669,4.0,1606,4.0,1228,4.0,1436,4.0,1045,4.0,972,4.0,779,4.0,922,4.0
