,E61_WT_500uM,E61_WT_500uM,E61_WT_10uM,E61_WT_10uM,E61_WT_DMSO,E61_WT_DMSO,E61_WT_Control,E61_WT_Control
,time,counts,time,counts,time,counts,time,counts
0,0 days 00:00:00,263,0 days 00:00:00,311,0 days 00:00:00,200,0 days 00:00:00,171
1,0 days 00:10:00,268,0 days 00:10:00,314,0 days 00:10:00,206,0 days 00:10:00,171
2,0 days 00:20:00,276,0 days 00:20:00,330,0 days 00:20:00,219,0 days 00:20:00,186
3,0 days 00:30:00,279,0 days 00:30:00,327,0 days 00:30:00,209,0 days 00:30:00,182
4,0 days 00:40:00,283,0 days 00:40:00,328,0 days 00:40:00,209,0 days 00:40:00,183
5,0 days 00:50:00,290,0 days 00:50:00,328,0 days 00:50:00,217,0 days 00:50:00,184
6,0 days 01:00:00,284,0 days 01:00:00,326,0 days 01:00:00,222,0 days 01:00:00,174
7,0 days 01:10:00,291,0 days 01:10:00,332,0 days 01:10:00,219,0 days 01:10:00,190
8,0 days 01:20:00,288,0 days 01:20:00,330,0 days 01:20:00,214,0 days 01:20:00,188
9,0 days 01:30:00,283,0 days 01:30:00,332,0 days 01:30:00,215,0 days 01:30:00,186
10,0 days 01:40:00,292,0 days 01:40:00,325,0 days 01:40:00,219,0 days 01:40:00,199
11,0 days 01:50:00,292,0 days 01:50:00,325,0 days 01:50:00,217,0 days 01:50:00,200
12,0 days 02:00:00,291,0 days 02:00:00,334,0 days 02:00:00,228,0 days 02:00:00,188
13,0 days 02:10:00,300,0 days 02:10:00,331,0 days 02:10:00,223,0 days 02:10:00,196
14,0 days 02:20:00,298,0 days 02:20:00,328,0 days 02:20:00,229,0 days 02:20:00,199
15,0 days 02:30:00,298,0 days 02:30:00,325,0 days 02:30:00,224,0 days 02:30:00,202
16,0 days 02:40:00,292,0 days 02:40:00,323,0 days 02:40:00,220,0 days 02:40:00,196
17,0 days 02:50:00,298,0 days 02:50:00,338,0 days 02:50:00,223,0 days 02:50:00,194
18,0 days 03:00:00,294,0 days 03:00:00,336,0 days 03:00:00,218,0 days 03:00:00,186
19,0 days 03:10:00,295,0 days 03:10:00,331,0 days 03:10:00,222,0 days 03:10:00,196
20,0 days 03:20:00,294,0 days 03:20:00,327,0 days 03:20:00,222,0 days 03:20:00,187
21,0 days 03:30:00,291,0 days 03:30:00,329,0 days 03:30:00,221,0 days 03:30:00,189
22,0 days 03:40:00,297,0 days 03:40:00,326,0 days 03:40:00,228,0 days 03:40:00,195
23,0 days 03:50:00,289,0 days 03:50:00,333,0 days 03:50:00,227,0 days 03:50:00,188
24,0 days 04:00:00,296,0 days 04:00:00,343,0 days 04:00:00,220,0 days 04:00:00,191
25,0 days 04:10:00,297,0 days 04:10:00,336,0 days 04:10:00,223,0 days 04:10:00,196
26,0 days 04:20:00,297,0 days 04:20:00,351,0 days 04:20:00,223,0 days 04:20:00,194
27,0 days 04:30:00,295,0 days 04:30:00,344,0 days 04:30:00,234,0 days 04:30:00,203
28,0 days 04:40:00,290,0 days 04:40:00,345,0 days 04:40:00,228,0 days 04:40:00,198
29,0 days 04:50:00,292,0 days 04:50:00,341,0 days 04:50:00,229,0 days 04:50:00,196
30,0 days 05:00:00,297,0 days 05:00:00,339,0 days 05:00:00,224,0 days 05:00:00,191
31,0 days 05:10:00,305,0 days 05:10:00,337,0 days 05:10:00,226,0 days 05:10:00,193
32,0 days 05:20:00,296,0 days 05:20:00,341,0 days 05:20:00,223,0 days 05:20:00,187
33,0 days 05:30:00,301,0 days 05:30:00,343,0 days 05:30:00,226,0 days 05:30:00,194
34,0 days 05:40:00,304,0 days 05:40:00,337,0 days 05:40:00,224,0 days 05:40:00,196
35,0 days 05:50:00,304,0 days 05:50:00,345,0 days 05:50:00,236,0 days 05:50:00,197
36,0 days 06:00:00,304,0 days 06:00:00,347,0 days 06:00:00,236,0 days 06:00:00,200
37,0 days 06:10:00,302,0 days 06:10:00,346,0 days 06:10:00,226,0 days 06:10:00,200
38,0 days 06:20:00,308,0 days 06:20:00,341,0 days 06:20:00,225,0 days 06:20:00,198
39,0 days 06:30:00,300,0 days 06:30:00,347,0 days 06:30:00,229,0 days 06:30:00,197
40,0 days 06:40:00,305,0 days 06:40:00,348,0 days 06:40:00,227,0 days 06:40:00,202
41,0 days 06:50:00,303,0 days 06:50:00,335,0 days 06:50:00,225,0 days 06:50:00,204
42,0 days 07:00:00,311,0 days 07:00:00,348,0 days 07:00:00,223,0 days 07:00:00,195
43,0 days 07:10:00,300,0 days 07:10:00,348,0 days 07:10:00,228,0 days 07:10:00,199
44,0 days 07:20:00,301,0 days 07:20:00,341,0 days 07:20:00,221,0 days 07:20:00,206
45,0 days 07:30:00,307,0 days 07:30:00,351,0 days 07:30:00,235,0 days 07:30:00,202
46,0 days 07:40:00,304,0 days 07:40:00,353,0 days 07:40:00,229,0 days 07:40:00,205
47,0 days 07:50:00,303,0 days 07:50:00,348,0 days 07:50:00,232,0 days 07:50:00,207
48,0 days 08:00:00,309,0 days 08:00:00,356,0 days 08:00:00,227,0 days 08:00:00,205
49,0 days 08:10:00,314,0 days 08:10:00,353,0 days 08:10:00,231,0 days 08:10:00,211
50,0 days 08:20:00,308,0 days 08:20:00,344,0 days 08:20:00,229,0 days 08:20:00,209
51,0 days 08:30:00,309,0 days 08:30:00,347,0 days 08:30:00,234,0 days 08:30:00,206
52,0 days 08:40:00,312,0 days 08:40:00,345,0 days 08:40:00,226,0 days 08:40:00,205
53,0 days 08:50:00,308,0 days 08:50:00,358,0 days 08:50:00,227,0 days 08:50:00,198
54,0 days 09:00:00,311,0 days 09:00:00,350,0 days 09:00:00,233,0 days 09:00:00,206
55,0 days 09:10:00,321,0 days 09:10:00,354,0 days 09:10:00,234,0 days 09:10:00,212
56,0 days 09:20:00,315,0 days 09:20:00,355,0 days 09:20:00,228,0 days 09:20:00,210
57,0 days 09:30:00,326,0 days 09:30:00,358,0 days 09:30:00,231,0 days 09:30:00,215
58,0 days 09:40:00,316,0 days 09:40:00,365,0 days 09:40:00,235,0 days 09:40:00,210
59,0 days 09:50:00,321,0 days 09:50:00,361,0 days 09:50:00,231,0 days 09:50:00,219
60,0 days 10:00:00,320,0 days 10:00:00,355,0 days 10:00:00,223,0 days 10:00:00,214
61,0 days 10:10:00,329,0 days 10:10:00,363,0 days 10:10:00,226,0 days 10:10:00,221
62,0 days 10:20:00,327,0 days 10:20:00,375,0 days 10:20:00,226,0 days 10:20:00,220
63,0 days 10:30:00,323,0 days 10:30:00,355,0 days 10:30:00,225,0 days 10:30:00,215
64,0 days 10:40:00,321,0 days 10:40:00,355,0 days 10:40:00,224,0 days 10:40:00,215
65,0 days 10:50:00,330,0 days 10:50:00,364,0 days 10:50:00,238,0 days 10:50:00,210
66,0 days 11:00:00,329,0 days 11:00:00,361,0 days 11:00:00,237,0 days 11:00:00,209
67,0 days 11:10:00,338,0 days 11:10:00,360,0 days 11:10:00,227,0 days 11:10:00,219
68,0 days 11:20:00,329,0 days 11:20:00,354,0 days 11:20:00,242,0 days 11:20:00,219
69,0 days 11:30:00,324,0 days 11:30:00,324,0 days 11:30:00,220,0 days 11:30:00,203
70,0 days 11:40:00,297,0 days 11:40:00,324,0 days 11:40:00,240,0 days 11:40:00,214
71,0 days 11:50:00,309,0 days 11:50:00,328,0 days 11:50:00,218,0 days 11:50:00,200
