,sec
0,0.0
1,821.191
2,1421.143
3,2021.1
4,2620.837
5,3220.986
6,3820.879
7,4420.796
8,5020.988
9,5620.905
10,6221.206
11,6821.588
12,7421.562
13,8021.463
14,8621.628
15,9221.61
16,9821.563
17,10420.925
18,11021.45
19,11843.649
20,12443.331
21,13043.148
22,13643.606
23,14243.87
24,14843.588
25,15443.714
26,16043.885
27,16643.27
28,17243.804
29,17843.877
30,18443.943
31,19043.925
32,19643.42
33,20243.444
34,20843.735
35,21443.616
36,22043.342
37,22883.934
38,23482.91
39,24082.811
40,24683.113
41,25282.909
42,25883.16
43,26483.566
44,27083.58
45,27683.094
46,28283.081
47,28883.174
48,29483.629
49,30083.551
50,30683.245
51,31283.224
52,31882.922
53,32483.447
54,33083.618
55,33918.749
56,34518.961
57,35118.418
58,35718.46
59,36318.372
60,36918.243
61,37518.511
62,38118.99
63,38718.422
64,39318.29
65,39918.351
66,40518.881
67,41118.229
68,41718.246
69,42604.075
70,43203.5
71,43803.383
72,44403.374
73,45229.566
74,45828.364
75,46428.601
76,47028.307
77,47629.129
78,48228.569
79,48828.843
80,49429.181
81,50028.912
82,50629.106
83,51228.557
84,51828.391
85,52429.181
86,53029.187
87,53629.188
88,54228.956
89,54828.541
90,55429.093
91,56250.494
92,56849.632
93,57449.255
94,58049.078
95,58649.318
96,59249.203
97,59849.665
98,60449.367
99,61049.689
100,61649.309
101,62249.423
102,62848.902
103,63449.696
104,64049.3
105,64649.138
106,65249.757
107,65849.22
108,66449.557
109,67265.271
110,67864.582
111,68465.145
112,69064.823
113,69664.536
114,70264.96
115,70864.63
116,71464.878
117,72064.763
118,72664.494
119,73264.968
120,73864.615
121,74465.167
122,75065.173
123,75664.808
124,76264.609
125,76865.174
126,77464.585
127,78286.19
128,78885.322
129,79485.373
130,80085.743
131,80685.932
132,81285.989
133,81885.433
134,82485.423
135,83086.011
136,83685.59
137,84285.783
138,84885.987
139,85485.389
140,86085.683
141,86685.49
142,87286.007
143,87886.025
144,88485.864
145,89306.483
146,89906.126
147,90505.601
148,91105.607
149,91706.089
150,92305.482
151,92906.156
152,93506.133
153,94105.757
154,94706.215
155,95305.873
156,95905.806
157,96505.69
158,97106.138
159,97706.099
160,98306.071
161,98906.193
162,99505.704
163,100328.158
164,100927.759
165,101527.449
166,102127.364
167,102728.015
168,103327.97
169,103927.441
170,104527.844
171,105127.893
172,105727.583
173,106327.523
174,106928.012
175,107527.589
176,108127.509
177,108727.499
178,109328.028
179,109927.456
180,110528.02
181,111357.07
182,111955.983
183,112555.551
184,113156.229
185,113755.525
186,114355.71
187,114955.611
188,115555.535
189,116155.486
190,116755.584
191,117356.075
192,117955.541
193,118555.821
194,119155.775
195,119756.309
196,120355.76
197,120955.551
198,121556.045
199,122383.28
200,122982.653
201,123582.525
202,124182.739
203,124782.455
204,125382.481
205,125982.429
206,126583.043
207,127180.81
208,127781.144
209,128380.646
210,128980.925
211,129581.068
212,130180.999
213,130781.337
214,131381.19
215,131980.755
216,132580.776
217,133401.521
218,134000.837
219,134600.792
220,135200.797
221,135800.96
222,136401.282
223,137000.601
224,137600.59
225,138201.065
226,138801.285
227,139401.08
228,140000.517
229,140600.62
230,141200.653
231,141800.576
232,142400.551
233,143001.079
234,143601.284
235,144428.82
236,145027.783
237,145628.234
238,146227.764
239,146827.626
240,147428.201
241,148027.778
242,148627.705
243,149227.5
244,149827.494
245,150427.715
246,151027.747
247,151627.503
248,152227.748
249,152827.539
250,153427.733
251,154027.648
252,154628.268
253,155456.985
254,156056.13
255,156655.451
256,157256.125
257,157855.779
258,158456.114
259,159055.457
260,159655.533
261,160255.988
262,160855.516
263,161455.507
264,162056.117
265,162655.397
266,163255.867
267,163855.605
268,164455.664
269,165055.436
270,165656.203
271,166477.87
272,167076.904
273,167676.793
274,168277.205
275,168877.401
276,169477.025
277,170076.895
278,170676.724
279,171276.832
280,171876.978
281,172477.45
282,173077.439
283,173677.168
284,174276.794
285,174877.128
286,175476.919
287,176076.745
288,176677.512
289,177495.545
290,178094.508
291,178694.115
292,179294.652
293,179894.213
294,180494.145
295,181094.056
296,181694.645
297,182293.944
298,182894.391
299,183494.425
300,184094.391
301,184694.045
302,185294.262
303,185894.549
304,186494.652
305,187094.131
306,187693.992
307,188523.855
308,189123.528
309,189723.715
310,190323.489
311,190923.589
312,191523.117
313,192123.003
314,192723.692
315,193323.425
316,193923.72
317,194523.58
318,195123.708
319,195723.51
320,196323.735
321,196923.763
322,197523.644
323,198123.517
324,198723.781
325,199549.29
326,200148.347
327,200748.571
328,201348.276
329,201948.137
330,202548.854
331,203148.632
332,203748.166
333,204348.175
334,204948.391
335,205548.295
336,206148.403
337,206748.343
338,207348.926
339,207948.963
340,208548.614
341,209148.917
342,209748.93
343,210568.812
344,211168.33
345,211768.515
346,212367.729
347,212968.258
348,213568.584
349,214166.765
350,214767.301
351,215367.381
352,215966.68
353,216567.397
354,217166.847
355,217767.4
356,218366.847
357,218967.454
358,219567.139
359,220167.439
360,220767.342
361,221589.138
362,222187.688
363,222787.741
364,223388.032
365,223987.917
366,224587.778
367,225188.221
368,225787.636
369,226388.268
370,226987.531
371,227587.62
372,228187.619
373,228787.827
374,229387.931
375,229987.557
376,230587.708
377,231187.702
378,231787.762
379,232618.262
380,233216.929
381,233816.77
382,234416.737
383,235017.301
384,235617.085
385,236217.473
386,236817.463
387,237417.027
388,238016.963
389,238616.808
390,239217.342
391,239816.879
392,240417.181
393,241017.02
394,241617.505
395,242216.797
396,242817.352
397,243641.835
398,244241.315
399,244841.052
400,245441.494
401,246041.021
402,246640.982
403,247241.73
404,247841.813
405,248441.784
406,249041.419
407,249641.656
408,250241.649
409,250841.487
410,251441.801
411,252041.401
412,252641.603
413,253241.17
414,253841.817
415,254666.463
416,255266.253
417,255865.861
418,256465.598
419,257066.107
420,257666.274
421,258265.729
422,258865.652
423,259465.911
424,260065.683
425,260665.723
426,261265.749
427,261866.148
428,262465.994
429,263066.343
430,263665.845
431,264265.703
432,264866.044
433,265695.419
434,266294.285
435,266894.369
436,267494.898
437,268094.353
438,268694.531
439,269294.607
440,269895.066
441,270494.389
442,271094.452
443,271694.381
444,272294.678
445,272894.595
446,273494.678
447,274094.439
448,274694.626
449,275294.719
450,275894.538
451,276732.806
452,277331.471
453,277931.322
454,278531.883
455,279131.277
456,279731.264
457,280331.447
458,280931.946
459,281531.207
460,282131.647
461,282732.011
462,283331.429
463,283931.977
464,284531.696
465,285131.324
466,285731.461
467,286331.568
468,286931.994
469,287760.327
470,288359.378
471,288959.382
472,289559.431
473,290159.615
474,290759.716
475,291359.528
476,291959.77
477,292560.172
478,293160.12
479,293759.651
480,294359.499
481,294959.395
482,295559.778
483,296159.612
484,296759.408
485,297359.641
486,297960.211
487,298798.276
488,299398.025
489,299997.711
490,300597.633
491,301197.582
492,301797.81
493,302397.393
494,302997.462
495,303598.114
496,304197.593
497,304798.077
498,305397.979
499,305997.643
500,306597.619
501,307198.133
502,307797.91
503,308397.936
504,308997.459
505,309831.661
506,310430.567
507,311030.601
508,311631.217
509,312231.271
510,312830.782
511,313430.533
512,314030.731
513,314630.521
514,315230.991
515,315831.116
516,316431.236
517,317030.853
518,317630.887
519,318230.789
520,318830.7
521,319431.3
522,320030.647
523,320862.403
524,321461.511
525,322061.83
526,322661.586
527,323261.524
528,323861.796
529,324461.631
530,325062.242
531,325662.277
532,326262.241
533,326862.231
534,327462.196
535,328062.253
536,328661.534
537,329262.043
538,329862.329
539,330461.589
540,331062.308
541,331891.957
542,332491.062
543,333091.584
544,333691.81
545,334291.793
546,334891.249
547,335491.822
548,336091.599
549,336691.864
550,337291.183
551,337891.847
552,338491.154
553,339091.716
554,339691.214
555,340291.264
556,340891.178
557,341491.942
558,342091.968
559,342938.104
560,343536.659
561,344137.107
562,344736.677
563,345337.149
564,345936.598
565,346536.546
566,347136.639
567,347736.997
568,348336.813
569,348936.929
570,349537.315
571,350137.035
572,350736.738
573,351336.659
574,351936.631
575,352537.306
576,353136.618
577,353979.329
578,354578.975
579,355178.512
580,355778.983
581,356378.411
582,356978.484
583,357578.6
584,358178.739
585,358778.356
586,359378.922
587,359979.022
588,360579.017
589,361178.357
590,361779.054
591,362378.495
592,362978.65
593,363578.383
594,364178.347
595,365013.222
596,365612.349
597,366212.458
598,366812.581
599,367412.405
600,368013.076
601,368612.536
602,369212.469
603,369812.736
604,370412.767
605,371012.449
606,371612.468
607,372212.459
608,372812.439
609,373412.624
610,374012.476
611,374612.5
612,375212.711
613,376040.759
614,376639.485
615,377239.196
616,377839.236
617,378439.931
618,379039.345
619,379639.41
