step,DMSO,TMZ10,TMZ500
0,193.0,157.0,179.0
1,194.5,159.5,180.25
2,196.0,162.25,182.75
3,196.75,163.75,185.25
4,198.0,166.0,187.75
5,201.5,167.0,190.25
6,202.75,168.75,192.5
7,205.0,169.75,195.0
8,206.75,171.0,196.5
9,208.25,172.25,198.75
10,211.0,173.25,199.75
11,212.5,175.75,202.75
12,213.5,177.5,203.5
13,215.75,178.75,205.75
14,218.0,181.5,206.75
15,220.25,183.5,208.75
16,222.0,185.5,209.75
17,224.0,187.25,212.25
18,226.25,188.25,213.0
19,227.25,188.75,215.25
20,229.0,189.75,217.5
21,230.75,191.0,219.25
22,233.25,192.0,221.25
23,235.25,193.75,222.5
24,237.5,195.25,224.75
25,240.5,197.0,228.0
26,243.25,199.75,229.25
27,247.0,201.25,231.5
28,249.25,202.5,233.25
29,251.0,204.0,236.75
30,253.5,204.5,238.5
31,255.25,207.75,240.5
32,256.75,210.0,244.25
33,258.25,211.75,246.5
34,260.75,213.25,248.75
35,263.25,215.0,251.5
36,266.25,216.5,253.25
37,268.5,217.5,254.5
38,271.25,219.25,255.75
39,274.25,221.25,257.75
40,276.5,223.75,260.0
41,279.5,227.0,263.25
42,284.0,228.75,264.25
43,286.0,231.0,266.0
44,288.0,232.25,269.0
45,290.0,234.5,271.0
46,293.5,235.5,273.5
47,296.0,238.25,274.5
48,298.0,239.25,275.25
49,300.25,240.75,276.5
50,303.75,242.5,277.25
51,306.5,243.75,277.75
52,309.0,245.25,278.5
53,311.25,246.25,280.0
54,313.0,247.25,281.75
55,314.5,249.0,282.75
56,317.5,249.75,283.25
57,320.25,251.25,284.5
58,323.0,253.0,284.75
59,325.0,254.75,285.0
60,329.25,255.5,285.5
61,332.25,257.0,285.75
62,335.0,258.25,286.5
63,339.0,259.75,286.75
64,342.25,260.0,286.75
65,344.75,261.0,287.0
66,346.5,262.25,287.0
67,349.0,263.25,287.0
68,351.25,263.75,287.0
69,353.75,265.0,287.5
70,357.0,266.25,288.0
71,358.5,266.75,288.5
72,361.0,267.75,288.75
73,362.75,268.0,288.75
74,366.0,268.25,288.75
75,368.75,268.25,288.75
76,372.25,269.25,288.75
77,374.25,269.75,288.75
78,377.0,270.0,288.75
79,380.0,270.5,288.75
80,383.0,271.25,288.75
81,387.5,273.0,289.0
82,390.5,273.75,289.0
83,392.75,274.5,289.0
84,394.75,275.5,289.0
85,399.5,276.25,289.0
86,404.25,277.5,289.0
87,407.75,278.0,289.0
88,411.75,278.0,289.0
89,415.0,278.75,289.25
90,419.25,279.0,289.25
91,423.5,280.0,289.25
92,426.0,281.25,289.25
93,429.25,282.25,289.25
94,433.75,283.75,289.25
95,438.25,284.25,289.25
96,442.25,285.25,289.25
97,446.0,286.25,289.5
98,450.25,286.5,289.5
99,453.5,287.0,289.5
100,456.25,287.5,289.5
101,459.75,287.5,289.5
102,464.0,288.5,289.5
103,468.5,289.5,289.5
104,472.75,290.0,289.5
105,478.0,290.5,289.5
106,483.75,291.75,289.5
107,490.25,293.25,289.5
108,496.25,293.75,290.0
109,500.25,294.0,290.0
110,504.5,295.0,287.3333333333333
111,508.75,295.5,287.3333333333333
112,512.0,297.25,287.3333333333333
113,515.0,298.5,287.3333333333333
114,519.0,300.0,287.3333333333333
115,524.0,300.5,287.6666666666667
116,529.5,301.25,287.6666666666667
117,534.75,302.0,287.6666666666667
118,539.75,303.0,287.6666666666667
119,545.5,303.5,287.6666666666667
120,550.75,305.0,287.6666666666667
121,556.0,307.0,287.6666666666667
122,563.5,308.0,287.6666666666667
123,570.0,308.25,287.6666666666667
124,574.0,309.25,287.6666666666667
125,578.0,310.25,287.6666666666667
126,583.5,310.75,287.6666666666667
127,589.5,312.0,287.6666666666667
128,594.0,313.75,287.6666666666667
129,598.25,314.25,287.6666666666667
130,604.0,315.0,287.6666666666667
131,610.25,315.5,287.6666666666667
132,615.5,315.75,287.6666666666667
133,620.25,316.25,287.6666666666667
134,624.25,317.0,287.6666666666667
135,627.5,317.75,283.0
136,632.0,318.5,283.0
137,637.75,319.5,283.0
138,643.25,321.0,283.0
139,648.0,322.0,283.0
140,654.25,322.5,283.0
