step,DMSO,TMZ10,TMZ500
0,497.0,587.0,695.0
1,504.25,595.0,703.25
2,511.0,602.25,712.75
3,517.0,609.75,719.0
4,524.5,615.75,726.0
5,530.0,622.0,732.5
6,536.75,630.5,740.5
7,542.75,637.75,748.75
8,549.0,643.75,757.0
9,555.25,651.5,768.0
10,561.75,659.25,777.25
11,567.5,668.75,786.75
12,572.5,677.5,793.25
13,578.5,686.25,802.75
14,584.25,693.5,810.25
15,590.0,698.75,821.5
16,595.25,707.0,831.25
17,600.0,716.25,839.25
18,605.0,725.25,849.0
19,611.75,732.25,857.75
20,619.75,740.5,866.75
21,628.0,749.0,876.5
22,636.75,755.25,883.5
23,643.25,763.5,893.5
24,650.5,770.0,903.5
25,657.5,777.25,913.75
26,665.25,787.25,924.0
27,671.75,795.75,935.75
28,678.0,804.75,946.25
29,685.5,812.5,956.75
30,692.0,823.0,967.25
31,698.25,831.0,978.5
32,707.0,840.0,988.75
33,714.75,850.25,1000.0
34,723.75,862.5,1010.0
35,730.5,869.75,1022.5
36,738.25,879.0,1033.75
37,745.0,888.0,1043.25
38,754.75,898.5,1052.5
39,761.25,906.5,1064.25
40,769.25,915.5,1078.25
41,776.75,924.0,1090.75
42,784.0,936.75,1098.5
43,793.25,943.0,1109.75
44,802.5,951.25,1120.0
45,811.0,962.5,1132.75
46,819.0,971.75,1143.5
47,829.75,980.75,1155.75
48,839.0,991.0,1165.0
49,848.5,998.5,1174.5
50,857.25,1008.25,1186.75
51,868.5,1016.5,1195.0
52,877.25,1027.25,1208.0
53,884.5,1037.75,1223.25
54,890.75,1047.25,1235.75
55,898.75,1057.25,1247.5
56,906.75,1070.0,1258.0
57,918.5,1078.0,1271.5
58,926.5,1089.25,1283.75
59,934.5,1099.75,1295.75
60,944.75,1109.25,1306.25
61,955.75,1119.75,1319.5
62,963.75,1129.5,1334.25
63,970.25,1139.75,1348.0
64,979.0,1148.0,1354.75
65,985.5,1157.25,1361.0
66,1001.25,1170.0,1370.0
67,1015.25,1180.25,1379.75
68,1028.0,1189.75,1388.25
69,1041.5,1198.25,1394.5
70,1054.5,1208.0,1401.25
71,1066.75,1215.5,1408.0
72,1079.5,1226.75,1415.25
73,1091.75,1236.75,1421.5
74,1104.25,1245.5,1430.5
75,1117.0,1254.75,1439.75
76,1129.25,1267.0,1448.75
77,1140.0,1278.25,1457.5
78,1151.0,1290.75,1465.25
79,1162.75,1302.75,1473.75
80,1174.25,1311.0,1482.25
81,1185.25,1320.25,1491.75
82,1195.25,1331.5,1502.0
83,1205.0,1346.0,1509.5
84,1216.75,1356.75,1518.0
85,1231.5,1367.25,1527.0
86,1247.75,1378.75,1534.25
87,1264.75,1387.75,1542.25
88,1280.0,1398.5,1552.0
89,1293.75,1408.75,1561.5
90,1308.0,1419.75,1572.75
91,1322.75,1431.75,1583.25
92,1337.0,1445.75,1595.25
93,1349.75,1458.0,1605.5
94,1363.5,1470.0,1617.0
95,1377.5,1482.5,1628.75
96,1390.25,1495.75,1640.25
97,1405.25,1508.25,1652.5
98,1421.75,1522.5,1664.5
99,1438.5,1538.75,1675.0
