,sec
0,0.0
1,1721.64
2,2321.404
3,2921.325
4,3521.807
5,4121.85
6,4721.645
7,5321.566
8,5921.904
9,6521.627
10,7121.93
11,7721.566
12,8321.382
13,8921.31
14,9521.458
15,10121.362
16,10721.451
17,11321.578
18,11921.386
19,13643.258
20,14243.37
21,14840.885
22,15440.54
23,16040.739
24,16640.613
25,17240.783
26,17840.669
27,18441.059
28,19040.644
29,19640.783
30,20240.642
31,20840.855
32,21441.339
33,22040.638
34,22640.845
35,23240.746
36,23840.944
37,25558.764
38,26158.274
39,26758.258
40,27358.293
41,27958.433
42,28558.21
43,29158.231
44,29758.312
45,30358.373
46,30958.787
47,31558.628
48,32158.449
49,32758.872
50,33358.654
51,33958.339
52,34558.366
53,35158.322
54,35758.325
55,37478.357
56,38077.99
57,38678.044
58,39278.229
59,39878.045
60,40478.011
61,41078.007
62,41678.309
63,42278.164
64,42878.127
65,43478.376
66,44078.093
67,44678.147
68,45278.369
69,45878.052
70,46478.441
71,47078.054
72,47678.031
73,49400.071
74,49999.734
75,50599.882
76,51199.923
77,51799.845
78,52399.663
79,52999.752
80,53599.927
81,54200.175
82,54799.85
83,55399.744
84,55999.7
85,56599.655
86,57199.99
87,57800.105
88,58399.835
89,58999.821
90,59599.739
91,61322.639
92,61922.684
93,62522.344
94,63122.616
95,63722.412
96,64322.773
97,64922.801
98,65522.371
99,66122.416
100,66722.604
101,67322.414
102,67922.406
103,68522.4
104,69122.743
105,69722.515
106,70322.835
107,70922.536
108,71522.446
109,73274.476
110,73874.374
111,74474.274
112,75073.91
113,75673.901
114,76273.878
115,76874.138
116,77473.985
117,78073.805
118,78674.361
119,79274.287
120,81444.238
121,82044.549
122,82644.548
123,83244.413
124,83844.335
125,84444.72
126,85045.016
127,86799.592
128,87399.338
129,87999.375
130,88599.352
131,89199.413
132,89798.995
133,90399.06
134,90999.051
135,91599.211
136,92199.009
137,92798.747
138,93399.308
139,93999.417
140,94599.407
141,95198.723
142,95799.374
143,96399.045
144,96998.835
145,98739.538
146,99339.4
147,99940.036
148,100539.984
149,101139.25
150,101740.014
151,102339.505
152,102940.015
153,103539.284
154,104139.645
155,104739.723
156,105339.558
157,105939.385
158,106540.059
159,107140.089
160,107740.065
161,108339.415
162,108940.035
163,110701.05
164,111300.179
165,111900.72
166,112500.118
167,113100.612
168,113700.862
169,114300.701
170,114900.74
171,115500.356
172,116100.578
173,116700.689
174,117300.872
175,117900.953
176,118500.249
177,119100.187
178,119700.314
179,120300.556
180,120900.961
181,122654.657
182,123255.054
183,123854.698
184,124454.824
185,125054.439
186,125654.633
187,126255.132
188,126854.741
189,127454.408
190,128054.692
191,128654.483
192,129254.815
193,129854.86
194,130455.137
195,131055.128
196,131654.452
197,132254.44
198,132854.415
199,134592.383
200,135192.137
201,135791.515
202,136392.124
203,136992.142
204,137591.892
205,138191.419
206,138791.481
207,139392.166
208,139991.568
209,140591.56
210,141192.159
211,141792.019
212,142392.162
213,142992.177
214,143591.922
215,144191.895
216,144791.58
217,146520.674
218,147120.841
219,147721.062
220,148321.038
221,148920.47
222,149520.474
223,150121.046
224,150721.053
225,151321.056
226,151920.474
227,152520.36
228,153120.292
229,153720.315
230,154320.423
231,154920.434
232,155520.761
233,156120.468
234,156720.486
235,158462.513
236,159062.568
237,159662.304
238,160262.577
239,160862.401
240,161462.575
241,162062.251
242,162662.293
243,163262.698
244,163862.451
245,164462.29
246,165062.617
247,167609.002
248,168209.017
249,169008.601
250,169608.262
251,170208.249
252,170808.421
253,172525.801
254,173125.598
255,173725.648
256,174325.522
257,174925.521
258,175525.926
259,176126.183
260,176725.816
261,177325.545
262,177926.009
263,178525.559
264,179125.633
265,179725.546
266,180325.573
267,180925.733
268,181525.529
269,182125.517
270,182725.75
271,184460.669
272,185058.996
273,185658.87
274,186258.901
275,186858.912
276,187458.969
277,188059.051
278,188659.21
279,189259.281
280,189858.894
281,190459.045
282,191059.608
283,191658.962
284,192259.079
285,192859.035
286,193459.355
287,194059.006
288,194659.4
289,196401.324
290,197000.747
291,197600.746
292,198201.024
293,198800.683
294,199400.992
295,200001.342
296,200601.037
297,201200.97
298,201801.262
299,202401.098
300,203001.505
301,203601.024
302,204201.187
303,204800.996
304,205401.163
305,206000.851
306,206600.892
307,208362.558
308,208961.687
309,209561.682
310,210161.767
311,210761.685
312,211361.973
313,211962.013
314,212561.735
315,213161.894
316,213761.957
317,214361.768
318,214961.773
319,215561.791
320,216162.044
321,216761.684
322,217361.765
323,217962.018
324,218561.694
325,220291.736
326,220891.548
327,221491.513
328,222091.61
329,222691.934
330,223291.748
331,223891.826
332,224491.497
333,225091.642
334,225692.253
335,226292.119
336,226891.752
337,227492.227
338,228091.817
339,228691.61
340,229291.588
341,229892.002
342,230492.183
343,232280.667
344,232880.286
345,233480.231
346,234080.309
347,234682.181
348,235317.2
349,235924.828
350,236523.863
351,237128.111
352,237749.992
353,238403.462
354,239061.659
355,239787.956
356,240518.055
357,241230.907
358,241953.877
359,242677.446
360,243457.468
361,245697.352
362,246442.972
363,247279.397
364,248203.897
365,249070.256
366,249938.821
367,250794.773
368,251636.835
369,252500.171
370,253469.448
371,254461.409
372,255434.096
373,256516.799
374,257643.672
375,260416.061
376,262052.689
377,263700.007
378,265410.618
379,269445.31
380,271379.39
381,273399.375
382,275449.209
383,277601.214
384,279808.719
385,281970.834
386,284034.318
387,286130.885
388,288358.108
389,290648.613
390,292983.463
391,295300.619
392,297801.494
393,300417.733
